"题号","项目名称","问题类型","审核问题","报告证据","标准依据","参考答案","复核状态","备注"
"Q001","C2929_佛山市彩川合成材料有限公司","行业分类","项目行业代码是否与建设内容和产品方案一致？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q002","C2929_佛山市彩川合成材料有限公司","指南适用范围","项目是否属于佛山市塑胶行业技术指南重点适用场景？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q003","C2929_佛山市彩川合成材料有限公司","工艺与产污环节","报告是否识别胶水、涂胶、复合、熟化或相关VOCs产生环节？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q004","C2929_佛山市彩川合成材料有限公司","VOCs治理","VOCs废气收集方式、治理设施和排放去向是否表述充分？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q005","C2929_佛山市彩川合成材料有限公司","修改意见回应","评估/修改意见提出的问题是否已在报批稿或终稿中回应？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q006","C2926_佛山市艾心日用品有限公司","行业分类","项目行业代码是否与建设内容和产品方案一致？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q007","C2926_佛山市艾心日用品有限公司","指南适用范围","项目是否属于佛山市塑胶行业技术指南重点适用场景？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q008","C2926_佛山市艾心日用品有限公司","工艺与产污环节","报告是否识别胶水、涂胶、复合、熟化或相关VOCs产生环节？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q009","C2926_佛山市艾心日用品有限公司","VOCs治理","VOCs废气收集方式、治理设施和排放去向是否表述充分？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q010","C2926_佛山市艾心日用品有限公司","修改意见回应","评估/修改意见提出的问题是否已在报批稿或终稿中回应？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q011","C2926_佛山市米心塑业有限公司","行业分类","项目行业代码是否与建设内容和产品方案一致？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q012","C2926_佛山市米心塑业有限公司","指南适用范围","项目是否属于佛山市塑胶行业技术指南重点适用场景？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q013","C2926_佛山市米心塑业有限公司","工艺与产污环节","报告是否识别胶水、涂胶、复合、熟化或相关VOCs产生环节？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q014","C2926_佛山市米心塑业有限公司","VOCs治理","VOCs废气收集方式、治理设施和排放去向是否表述充分？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
"Q015","C2926_佛山市米心塑业有限公司","修改意见回应","评估/修改意见提出的问题是否已在报批稿或终稿中回应？","待人工填写页码/章节/原文","待绑定1-2条标准","待人工填写","待复核","第一批人工拆题模板"
