item_id,question_type,group,model_name,answer_file,correct_judgement,uses_report_evidence,uses_guide_or_standard,identifies_audit_risk,actionable_review_comment,total_score,notes
Q01,guide_explicit,A,,,,,,,,,
Q01,guide_explicit,B,,,,,,,,,
Q01,guide_explicit,C,,,,,,,,,
Q02,guide_explicit,A,,,,,,,,,
Q02,guide_explicit,B,,,,,,,,,
Q02,guide_explicit,C,,,,,,,,,
Q03,guide_explicit,A,,,,,,,,,
Q03,guide_explicit,B,,,,,,,,,
Q03,guide_explicit,C,,,,,,,,,
Q04,standard_calculation,A,,,,,,,,,
Q04,standard_calculation,B,,,,,,,,,
Q04,standard_calculation,C,,,,,,,,,
Q05,case_experience,A,,,,,,,,,
Q05,case_experience,B,,,,,,,,,
Q05,case_experience,C,,,,,,,,,
Q06,case_experience,A,,,,,,,,,
Q06,case_experience,B,,,,,,,,,
Q06,case_experience,C,,,,,,,,,
Q07,case_experience,A,,,,,,,,,
Q07,case_experience,B,,,,,,,,,
Q07,case_experience,C,,,,,,,,,
Q08,cross_check,A,,,,,,,,,
Q08,cross_check,B,,,,,,,,,
Q08,cross_check,C,,,,,,,,,
Q09,cross_check,A,,,,,,,,,
Q09,cross_check,B,,,,,,,,,
Q09,cross_check,C,,,,,,,,,
Q10,cross_check,A,,,,,,,,,
Q10,cross_check,B,,,,,,,,,
Q10,cross_check,C,,,,,,,,,
