question_id,project_name,audit_module,suggested_skill,需要绑定的标准依据,需要定位的报告证据,需要核查的样本链文件,处理优先级
SC_QHSJ_001,佛山市全海世家新材料科技有限公司新建项目,VOCs排放量与治理措施一致性;污染物排放标准适用性,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_QHSJ_002,佛山市全海世家新材料科技有限公司新建项目,危险废物识别与废活性炭核算,09_源强定量核算审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_QHSJ_003,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_QHSJ_004,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_QHSJ_007,佛山市全海世家新材料科技有限公司新建项目,建设内容完整性;文件制式规范,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_002,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_003,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_004,佛山市彩川合成材料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_005,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_006,佛山市彩川合成材料有限公司新建项目,噪声源强与预测审核,09_源强定量核算审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_007,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_008,佛山市彩川合成材料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CC_009,佛山市彩川合成材料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZBHM_001,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZBHM_002,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZBHM_003,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZBHM_004,佛山市祖帮海绵有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZBHM_006,佛山市祖帮海绵有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZCSB_004,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,09_源强定量核算审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZCSB_005,佛山市顺德区智成塑包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZXYP_001,佛山志兴盈包装有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZXYP_002,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZXYP_003,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZXYP_005,佛山志兴盈包装有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZXYP_006,佛山志兴盈包装有限公司新建项目,源强核算与预测参数审核,09_源强定量核算审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZXYP_007,佛山志兴盈包装有限公司新建项目,环境风险与新污染物审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_ZXYP_008,佛山志兴盈包装有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_001,佛山辰僖塑料有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_002,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_003,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_004,佛山辰僖塑料有限公司新建项目,建设内容与生产设施参数审核,04_建设内容完整性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_005,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_006,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_007,佛山辰僖塑料有限公司新建项目,VOCs与废气治理审核,15_VOCs总量控制审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_CXSL_008,佛山辰僖塑料有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_HMHX_003,和默化学（佛山）有限公司新建项目,VOCs与废气治理审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_HMHX_004,和默化学（佛山）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_HMHX_006,和默化学（佛山）有限公司新建项目,废水处理与委外处置审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_PC_001,鹏彩科技（佛山市）有限公司新建项目,行业准入与规划相符性审核,03_三线一单符合性审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_PC_002,鹏彩科技（佛山市）有限公司新建项目,VOCs与废气治理审核,10_废气收集形式审核 / 11_废气设计风量审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_PC_004,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_PC_005,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_PC_006,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,高
SC_QHSJ_005,佛山市全海世家新材料科技有限公司新建项目,废气收集效率与活性炭治理设施参数;环境保护措施可行性,10_废气收集形式审核 / 11_废气设计风量审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_QHSJ_006,佛山市全海世家新材料科技有限公司新建项目,废气收集形式与设计风量核算,09_源强定量核算审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_ZCSB_002,佛山市顺德区智成塑包装有限公司新建项目,图件附件完整性审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_YD_002,广东顺德意达电子薄膜器件有限公司新建项目,VOCs总量控制审核,15_VOCs总量控制审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_YD_003,广东顺德意达电子薄膜器件有限公司新建项目,废水处理与排放标准审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_YD_004,广东顺德意达电子薄膜器件有限公司新建项目,噪声源强与预测审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_YD_005,广东顺德意达电子薄膜器件有限公司新建项目,固废与危险废物识别审核,14_危险废物识别审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_ZBHM_005,佛山市祖帮海绵有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_ZCSB_001,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_ZCSB_003,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_ZCSB_006,佛山市顺德区智成塑包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_ZXYP_004,佛山志兴盈包装有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_HMHX_001,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_HMHX_005,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_HMHX_008,和默化学（佛山）有限公司新建项目,样本链专家意见审核,99_总审核汇总,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_PC_003,鹏彩科技（佛山市）有限公司新建项目,样本链专家意见审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
SC_PC_007,鹏彩科技（佛山市）有限公司新建项目,污染物排放标准适用性审核,07_污染物排放标准审核,,,02_报批稿或终稿; 03_修改意见或评估意见; 04_批复,中
