case_experience_id,case_experience_name,audit_module,related_rules,related_cases,basis_standards,evidence_level,can_enter_experience_library,needs_expert_confirmation,notes
CE-C2929-001,注塑废气VOCs产污系数选择与源强核算,废气源强,EXP_C2929_AIR_002; EXP_C2929_MATBAL_001; RULE_C2929_废气_新建/扩建,盛之强项目; 多个C2929顺德退改项目,292系数手册; 广东VOCs系数指南(2022); GB31572-2015; DB44/2367-2022,A,是,否,系数手册是最直接的明文依据，多项目验证
CE-C2929-002,注塑/造粒特征污染物识别(NMHC/臭气/颗粒物),废气特征,RULE_C2929_废气_新建,盛之强项目; 多个顺德C2929批注,GB14554-93; GB31572-2015; DB44/27-2001,A,是,否,标准明确，批注反复验证
CE-C2929-003,废气收集形式、控制风速与收集效率,废气收集,EXP_C2929_AC_001; CE-004; CE-005,盛之强项目(半密罩65%); 多个顺德C2929批注,广东VOCs核算方法(2023); HJ2026-2013; DB44/2367-2022,B,是,是,需设计图纸核实收集效率取值
CE-C2929-004,风机风量核算与参数匹配,废气治理,EXP_C2929_AC_001; CE-003; CE-005,多个C2929退改意见,佛环函(2024)70号; HJ2026-2013,B,是,是,无固定风量阈值;稀释排放无量化标准
CE-C2929-005,活性炭类型/碘值/过滤风速/停留时间/更换周期,废气治理,EXP_C2929_AC_001; CE-004; CE-008,盛之强项目(0.58m/s/0.52s); 多个顺德C2929批注,佛环函(2024)70号; GB18597-2023; 危废名录(2025),A,是,是,★最强规则;所有参数阈值需佛环函原文核实
CE-C2929-006,间接冷却水排雨水管网合规性,废水去向,EXP_C2929_WW_001; RULE_C2929_废水_新建,盛之强项目; 顺德多项目,DB44/26-2001; 顺德区排水管理口径,B,是,是,严重依赖地方口径;不宜跨区域泛化
CE-C2929-007,原辅材料/产品/边角料/VOCs物料平衡闭合,物料平衡,EXP_C2929_MATBAL_001; CE-001; CE-008,盛之强项目(边角料10.8%); 多个顺德C2929批注,292系数手册; 广东VOCs核算方法(2023),B,是,是,审核方法论非强制标准;边角料无固定阈值
CE-C2929-008,危废识别:废切削液/废活性炭/废矿物油/废包装桶,危废识别,EXP_C2929_PROC_003; CE-005; RULE_C2929_危废_新建,盛之强项目(遗漏废切削液HW09); 多个顺德C2929,危废名录(2025); GB18597-2023,A,是,否,★废切削液部分标准支撑最强;废包装桶需更多验证
CE-C2929-009,VOCs总量申请(有组织+无组织)与不达标区削减替代,总量控制,EXP_C2929_AIR_002; RULE_C2929_总量_扩建,盛之强项目(0.187t/a未提替代); 顺德C2929项目,顺环委办(2023)19号; DB44/2367-2022,A,是,是,替代比例数值需查原文
CE-C2929-010,标准适用层级:GB31572/DB44-2367/DB44-27/GB14554,标准适用,RULE_C2929_废气_新建; CE-001,盛之强项目; 多个顺德C2929项目,GB31572-2015(含修改单); DB44/2367-2022; DB44/27-2001; GB14554-93,A,是,否,标准均正式发布;层级选择是审核经验
