skill_id,skill_name,file_path,line_or_section,content_excerpt,overlap_type,classification,action,target_rag_source_or_field,severity,manual_review_needed,resolution_status
01,国民经济行业类别审核,09_环评审核技能库/01_国民经济行业类别审核/SKILL.md,90,4. 法规库检索 GB/T 4754-2017 或现行国民经济行业分类条目，核对小类描述与报告证据是否一致。,version_specific_fact,A_normative_knowledge,convert_to_runtime_rag_reference,document_number + validity_status,medium,false,resolved_in_refactor
01,国民经济行业类别审核,09_环评审核技能库/01_国民经济行业类别审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
01,国民经济行业类别审核,09_环评审核技能库/01_国民经济行业类别审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
02,环评投资核算审核,09_环评审核技能库/02_环评投资核算审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
02,环评投资核算审核,09_环评审核技能库/02_环评投资核算审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
03,三线一单符合性审核,09_环评审核技能库/03_三线一单符合性审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
03,三线一单符合性审核,09_环评审核技能库/03_三线一单符合性审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
04,建设内容完整性审核,09_环评审核技能库/04_建设内容完整性审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
04,建设内容完整性审核,09_环评审核技能库/04_建设内容完整性审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
05,环境质量现状数据审核,09_环评审核技能库/05_环境质量现状数据审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
05,环境质量现状数据审核,09_环评审核技能库/05_环境质量现状数据审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
06,环境质量执行标准审核,09_环评审核技能库/06_环境质量执行标准审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
06,环境质量执行标准审核,09_环评审核技能库/06_环境质量执行标准审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
07,污染物排放标准审核,09_环评审核技能库/07_污染物排放标准审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
07,污染物排放标准审核,09_环评审核技能库/07_污染物排放标准审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
08,产污系数适用性审核,09_环评审核技能库/08_产污系数适用性审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
08,产污系数适用性审核,09_环评审核技能库/08_产污系数适用性审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
09,源强定量核算审核,09_环评审核技能库/09_源强定量核算审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
09,源强定量核算审核,09_环评审核技能库/09_源强定量核算审核/SKILL.md,case-experience,类案经验仅用于risk_tags/risk_hints,acceptable_interface_overlap,C_experience_governance,mark_as_heuristic,case_hints.source_type,low,false,explicitly_constrained
10,废气收集形式审核,09_环评审核技能库/10_废气收集形式审核/SKILL.md,interface,检索/核对适用标准或法规库,acceptable_interface_overlap,B_audit_procedure,keep_in_skill,query_template + candidate_domains,low,false,kept_as_runtime_interface
