question_id,project_name,version_round,audit_module,suggested_skill,selection_score,question,answer,evidence,source_basis,verifiability_check,人工备注,gold_status,人工复核结论,报告页码,标准条款,专家意见原文位置,终稿是否修改闭环,批复是否体现,人工参考答案,评分备注
SC_QHSJ_001,佛山市全海世家新材料科技有限公司新建项目,sample_chain_expert_issue_v1,VOCs排放量与治理措施一致性;污染物排放标准适用性,07_污染物排放标准审核,123,请结合佛山市全海世家新材料科技有限公司新建项目样本链，核查“补充说明挥发性有机物的初始排放速率是否大于2kg/h”这一专家完善意见是否有报告证据支撑，并说明需要核查的证据位置、可能存在的问题及建议补充内容。,参考答案（专家意见来源）：专家评审意见指出需“补充说明挥发性有机物的初始排放速率是否大于2kg/h”。应优先核查：废气源强核算章节;VOCs排放速率;排放标准适用章节。若报告中未充分说明或数据前后不一致，应要求补充说明、完善表格或修正相关参数。该条目前作为样本链金标候选，仍需人工定位报告页码和原文证据。,03_修改意见或评估意见/专家评审评分表/报告表评审意见：补充说明挥发性有机物的初始排放速率是否大于2kg/h；建议核查证据：废气源强核算章节;VOCs排放速率;排放标准适用章节；待人工定位：01公示版和02报批稿中的具体章节、页码、表格或图件。,专家评审评分表（2024-06-18，70/100，原则通过）；样本链：01公示版、02报批稿或终稿、03修改意见或评估意见、04批复；具体标准条款待后续绑定,可通过03专家评审意见核验；报告正文页码和标准条款仍需人工补充,已有人类专家评审来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_QHSJ_002,佛山市全海世家新材料科技有限公司新建项目,sample_chain_expert_issue_v1,危险废物识别与废活性炭核算,09_源强定量核算审核,123,请结合佛山市全海世家新材料科技有限公司新建项目样本链，核查“核实危废暂存方式并补充固废区域面积”这一专家完善意见是否有报告证据支撑，并说明需要核查的证据位置、可能存在的问题及建议补充内容。,参考答案（专家意见来源）：专家评审意见指出需“核实危废暂存方式并补充固废区域面积”。应优先核查：固体废物章节;危废暂存间设置;固废暂存面积;危废代码。若报告中未充分说明或数据前后不一致，应要求补充说明、完善表格或修正相关参数。该条目前作为样本链金标候选，仍需人工定位报告页码和原文证据。,03_修改意见或评估意见/专家评审评分表/报告表评审意见：核实危废暂存方式并补充固废区域面积；建议核查证据：固体废物章节;危废暂存间设置;固废暂存面积;危废代码；待人工定位：01公示版和02报批稿中的具体章节、页码、表格或图件。,专家评审评分表（2024-06-18，70/100，原则通过）；样本链：01公示版、02报批稿或终稿、03修改意见或评估意见、04批复；具体标准条款待后续绑定,可通过03专家评审意见核验；报告正文页码和标准条款仍需人工补充,已有人类专家评审来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_QHSJ_003,佛山市全海世家新材料科技有限公司新建项目,sample_chain_expert_issue_v1,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,123,请结合佛山市全海世家新材料科技有限公司新建项目样本链，核查“增加消耗量合计并补充物料平衡表”这一专家完善意见是否有报告证据支撑，并说明需要核查的证据位置、可能存在的问题及建议补充内容。,参考答案（专家意见来源）：专家评审意见指出需“增加消耗量合计并补充物料平衡表”。应优先核查：原辅材料用量表;物料平衡表;源强核算过程。若报告中未充分说明或数据前后不一致，应要求补充说明、完善表格或修正相关参数。该条目前作为样本链金标候选，仍需人工定位报告页码和原文证据。,03_修改意见或评估意见/专家评审评分表/报告表评审意见：增加消耗量合计并补充物料平衡表；建议核查证据：原辅材料用量表;物料平衡表;源强核算过程；待人工定位：01公示版和02报批稿中的具体章节、页码、表格或图件。,专家评审评分表（2024-06-18，70/100，原则通过）；样本链：01公示版、02报批稿或终稿、03修改意见或评估意见、04批复；具体标准条款待后续绑定,可通过03专家评审意见核验；报告正文页码和标准条款仍需人工补充,已有人类专家评审来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_QHSJ_004,佛山市全海世家新材料科技有限公司新建项目,sample_chain_expert_issue_v1,建设内容完整性;运营期产污系数与源强核算,04_建设内容完整性审核,123,请结合佛山市全海世家新材料科技有限公司新建项目样本链，核查“补充主要生产设施的设施参数”这一专家完善意见是否有报告证据支撑，并说明需要核查的证据位置、可能存在的问题及建议补充内容。,参考答案（专家意见来源）：专家评审意见指出需“补充主要生产设施的设施参数”。应优先核查：设备清单;生产规模;设备参数;工艺流程。若报告中未充分说明或数据前后不一致，应要求补充说明、完善表格或修正相关参数。该条目前作为样本链金标候选，仍需人工定位报告页码和原文证据。,03_修改意见或评估意见/专家评审评分表/报告表评审意见：补充主要生产设施的设施参数；建议核查证据：设备清单;生产规模;设备参数;工艺流程；待人工定位：01公示版和02报批稿中的具体章节、页码、表格或图件。,专家评审评分表（2024-06-18，70/100，原则通过）；样本链：01公示版、02报批稿或终稿、03修改意见或评估意见、04批复；具体标准条款待后续绑定,可通过03专家评审意见核验；报告正文页码和标准条款仍需人工补充,已有人类专家评审来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_QHSJ_007,佛山市全海世家新材料科技有限公司新建项目,sample_chain_expert_issue_v1,建设内容完整性;文件制式规范,04_建设内容完整性审核,123,请结合佛山市全海世家新材料科技有限公司新建项目样本链，核查“完善相关图件并补充比例尺”这一专家完善意见是否有报告证据支撑，并说明需要核查的证据位置、可能存在的问题及建议补充内容。,参考答案（专家意见来源）：专家评审意见指出需“完善相关图件并补充比例尺”。应优先核查：平面布置图;地理位置图;周边关系图;比例尺。若报告中未充分说明或数据前后不一致，应要求补充说明、完善表格或修正相关参数。该条目前作为样本链金标候选，仍需人工定位报告页码和原文证据。,03_修改意见或评估意见/专家评审评分表/报告表评审意见：完善相关图件并补充比例尺；建议核查证据：平面布置图;地理位置图;周边关系图;比例尺；待人工定位：01公示版和02报批稿中的具体章节、页码、表格或图件。,专家评审评分表（2024-06-18，70/100，原则通过）；样本链：01公示版、02报批稿或终稿、03修改意见或评估意见、04批复；具体标准条款待后续绑定,可通过03专家评审意见核验；报告正文页码和标准条款仍需人工补充,已有人类专家评审来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_CC_002,佛山市彩川合成材料有限公司新建项目,sample_chain_expert_issue_v1,建设内容与生产设施参数审核,04_建设内容完整性审核,123,请结合样本链材料，核查该项目在“建设内容与生产设施参数审核”方面是否已回应专家意见：细化说明色粉的生产规模，根据挤出机的生产特征，完善关键设备产能和规模的匹配性分析，核实项目的物料平衡图和NHMC平衡。,参考答案（专家意见来源）：专家/评估意见指出需“细化说明色粉的生产规模，根据挤出机的生产特征，完善关键设备产能和规模的匹配性分析，核实项目的物料平衡图和NHMC平衡。”。审核时应核查报告正文是否已补充、修正或说明该问题，并进一步绑定具体标准条款、报告页码和修改闭环。 修改说明记录：已修改产品产能一览表、生产设施匹配性分析表、物料平衡表；修改位置：P21、P24、P25。,03_修改意见或评估意见/C2929_佛山市彩川合成材料有限公司新建项目\彩川合成材料发给大良的文件汇总\彩川修改说明表.docx：细化说明色粉的生产规模，根据挤出机的生产特征，完善关键设备产能和规模的匹配性分析，核实项目的物料平衡图和NHMC平衡。；建议同步核查01受理公告或公示版、02报批稿或终稿、04批复。 修改说明：已修改产品产能一览表、生产设施匹配性分析表、物料平衡表；修改位置：P21、P24、P25。,样本链03修改意见/评估意见；样本链01公示版、02报批稿或终稿、04批复；具体标准条款待后续绑定,可通过03专家意见或修改说明核验；报告正文页码、标准条款和终稿修改闭环仍需人工补充,已有专家/评估意见来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_CC_003,佛山市彩川合成材料有限公司新建项目,sample_chain_expert_issue_v1,建设内容与生产设施参数审核,04_建设内容完整性审核,123,请结合样本链材料，核查该项目在“建设内容与生产设施参数审核”方面是否已回应专家意见：核实冷却塔的数量，明确挤出机的冷却方式，说明直接冷却水的更换频次和年更换量。,参考答案（专家意见来源）：专家/评估意见指出需“核实冷却塔的数量，明确挤出机的冷却方式，说明直接冷却水的更换频次和年更换量。”。审核时应核查报告正文是否已补充、修正或说明该问题，并进一步绑定具体标准条款、报告页码和修改闭环。 修改说明记录：已补充冷水机、直接冷却水的更换频次和年更换量；修改位置：P22、P37-38。,03_修改意见或评估意见/C2929_佛山市彩川合成材料有限公司新建项目\彩川合成材料发给大良的文件汇总\彩川修改说明表.docx：核实冷却塔的数量，明确挤出机的冷却方式，说明直接冷却水的更换频次和年更换量。；建议同步核查01受理公告或公示版、02报批稿或终稿、04批复。 修改说明：已补充冷水机、直接冷却水的更换频次和年更换量；修改位置：P22、P37-38。,样本链03修改意见/评估意见；样本链01公示版、02报批稿或终稿、04批复；具体标准条款待后续绑定,可通过03专家意见或修改说明核验；报告正文页码、标准条款和终稿修改闭环仍需人工补充,已有专家/评估意见来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_CC_004,佛山市彩川合成材料有限公司新建项目,sample_chain_expert_issue_v1,建设内容与生产设施参数审核,04_建设内容完整性审核,123,请结合样本链材料，核查该项目在“建设内容与生产设施参数审核”方面是否已回应专家意见：完善工艺流程，核实挤出机的操作温度，进一步明确挤出工艺废气的产排情况，建议删除挤出工艺颗粒物,参考答案（专家意见来源）：专家/评估意见指出需“完善工艺流程，核实挤出机的操作温度，进一步明确挤出工艺废气的产排情况，建议删除挤出工艺颗粒物”。审核时应核查报告正文是否已补充、修正或说明该问题，并进一步绑定具体标准条款、报告页码和修改闭环。 修改说明记录：已完善色粉工艺流程，已核实挤出机工作温度，已删除挤出工艺颗粒物；修改位置：P26-29。,03_修改意见或评估意见/C2929_佛山市彩川合成材料有限公司新建项目\彩川合成材料发给大良的文件汇总\彩川修改说明表.docx：完善工艺流程，核实挤出机的操作温度，进一步明确挤出工艺废气的产排情况，建议删除挤出工艺颗粒物；建议同步核查01受理公告或公示版、02报批稿或终稿、04批复。 修改说明：已完善色粉工艺流程，已核实挤出机工作温度，已删除挤出工艺颗粒物；修改位置：P26-29。,样本链03修改意见/评估意见；样本链01公示版、02报批稿或终稿、04批复；具体标准条款待后续绑定,可通过03专家意见或修改说明核验；报告正文页码、标准条款和终稿修改闭环仍需人工补充,已有专家/评估意见来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_CC_005,佛山市彩川合成材料有限公司新建项目,sample_chain_expert_issue_v1,污染物排放标准适用性审核,07_污染物排放标准审核,123,请结合样本链材料，核查该项目在“污染物排放标准适用性审核”方面是否已回应专家意见：项目排放的污染物涉及总悬浮颗粒物，TSP在《环境空气质量标准》（GB 3095-2012）有标准限值，需要提供现状监测数据，可引用项目周边5km范围内近3年的现有检测数据，若无相关数据建议补充监测。,参考答案（专家意见来源）：专家/评估意见指出需“项目排放的污染物涉及总悬浮颗粒物，TSP在《环境空气质量标准》（GB 3095-2012）有标准限值，需要提供现状监测数据，可引用项目周边5km范围内近3年的现有检测数据，若无相关数据建议补充监测。”。审核时应核查报告正文是否已补充、修正或说明该问题，并进一步绑定具体标准条款、报告页码和修改闭环。 修改说明记录：无；修改位置：/。,03_修改意见或评估意见/C2929_佛山市彩川合成材料有限公司新建项目\彩川合成材料发给大良的文件汇总\彩川修改说明表.docx：项目排放的污染物涉及总悬浮颗粒物，TSP在《环境空气质量标准》（GB 3095-2012）有标准限值，需要提供现状监测数据，可引用项目周边5km范围内近3年的现有检测数据，若无相关数据建议补充监测。；建议同步核查01受理公告或公示版、02报批稿或终稿、04批复。 修改说明：无；修改位置：/。,样本链03修改意见/评估意见；样本链01公示版、02报批稿或终稿、04批复；具体标准条款待后续绑定,可通过03专家意见或修改说明核验；报告正文页码、标准条款和终稿修改闭环仍需人工补充,已有专家/评估意见来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
SC_CC_006,佛山市彩川合成材料有限公司新建项目,sample_chain_expert_issue_v1,噪声源强与预测审核,09_源强定量核算审核,123,请结合样本链材料，核查该项目在“噪声源强与预测审核”方面是否已回应专家意见：项目东面边界距离顺诚南路较近，根据《佛山市生态环境局关于印发<佛山市声环境功能区划>的通知》（2024年1月10日），顺诚南路属于城市主干路，道路划分4a类声环境功能区，与相邻区域为3类声环境功能区，距离为20m。说明边界与顺诚南路的距离，是否涉及4a类声功能区。 | 已核实距离超出20米，属于3类声功能区,参考答案（专家意见来源）：专家/评估意见指出需“项目东面边界距离顺诚南路较近，根据《佛山市生态环境局关于印发<佛山市声环境功能区划>的通知》（2024年1月10日），顺诚南路属于城市主干路，道路划分4a类声环境功能区，与相邻区域为3类声环境功能区，距离为20m。说明边界与顺诚南路的距离，是否涉及4a类声功能区。 | 已核实距离超出20米，属于3类声功能区”。审核时应核查报告正文是否已补充、修正或说明该问题，并进一步绑定具体标准条款、报告页码和修改闭环。,03_修改意见或评估意见/C2929_佛山市彩川合成材料有限公司新建项目\彩川合成材料发给大良的文件汇总\彩川修改说明表.docx：项目东面边界距离顺诚南路较近，根据《佛山市生态环境局关于印发<佛山市声环境功能区划>的通知》（2024年1月10日），顺诚南路属于城市主干路，道路划分4a类声环境功能区，与相邻区域为3类声环境功能区，距离为20m。说明边界与顺诚南路的距离，是否涉及4a类声功能区。 | 已核实距离超出20米，属于3类声功能区；建议同步核查01受理公告或公示版、02报批稿或终稿、04批复。,样本链03修改意见/评估意见；样本链01公示版、02报批稿或终稿、04批复；具体标准条款待后续绑定,可通过03专家意见或修改说明核验；报告正文页码、标准条款和终稿修改闭环仍需人工补充,已有专家/评估意见来源；尚未完成报告页码定位、标准条款绑定和终稿修改闭环核查,gold_candidate,,,,,,,,
