expected_file,found,actual_path,should_copy_to_repo_path,action_needed,notes
03_指南解析_明文标准库/plastic_guide_standard_cards_v0_4_checked.md,YES,E:\软件\eia_plastic_guide_research_pack\03_指南解析_明文标准库/plastic_guide_standard_cards_v0_4_checked.md,sync_repo\03_指南解析_明文标准库/plastic_guide_standard_cards_v0_4_checked.md,OK,"15,547b"
03_指南解析_明文标准库/plastic_guide_standard_cards_v0_4_checked.jsonl,YES,E:\软件\eia_plastic_guide_research_pack\03_指南解析_明文标准库/plastic_guide_standard_cards_v0_4_checked.jsonl,sync_repo\03_指南解析_明文标准库/plastic_guide_standard_cards_v0_4_checked.jsonl,OK,"21,488b"
03_指南解析_明文标准库/standard_card_correction_log_v0_4.csv,YES,E:\软件\eia_plastic_guide_research_pack\03_指南解析_明文标准库/standard_card_correction_log_v0_4.csv,sync_repo\03_指南解析_明文标准库/standard_card_correction_log_v0_4.csv,OK,653b
04_顺德类案经验库/plastic_case_experience_cards_v0_4_checked.md,YES,E:\软件\eia_plastic_guide_research_pack\04_顺德类案经验库/plastic_case_experience_cards_v0_4_checked.md,sync_repo\04_顺德类案经验库/plastic_case_experience_cards_v0_4_checked.md,OK,"1,679b"
04_顺德类案经验库/plastic_case_experience_cards_v0_4_checked.jsonl,YES,E:\软件\eia_plastic_guide_research_pack\04_顺德类案经验库/plastic_case_experience_cards_v0_4_checked.jsonl,sync_repo\04_顺德类案经验库/plastic_case_experience_cards_v0_4_checked.jsonl,OK,"7,038b"
04_顺德类案经验库/experience_evidence_binding_v0_4.csv,YES,E:\软件\eia_plastic_guide_research_pack\04_顺德类案经验库/experience_evidence_binding_v0_4.csv,sync_repo\04_顺德类案经验库/experience_evidence_binding_v0_4.csv,OK,954b
05_样本链_受理公告_终稿_批复_修改意见/plastic_sample_chain_matching_v0_4.csv,YES,E:\软件\eia_plastic_guide_research_pack\05_样本链_受理公告_终稿_批复_修改意见/plastic_sample_chain_matching_v0_4.csv,sync_repo\05_样本链_受理公告_终稿_批复_修改意见/plastic_sample_chain_matching_v0_4.csv,OK,"1,496b"
06_Benchmark最小实验/benchmark_items_mvp_v0_4.jsonl,YES,E:\软件\eia_plastic_guide_research_pack\06_Benchmark最小实验/benchmark_items_mvp_v0_4.jsonl,sync_repo\06_Benchmark最小实验/benchmark_items_mvp_v0_4.jsonl,OK,"7,767b"
06_Benchmark最小实验/benchmark_design_mvp_v0_4.md,YES,E:\软件\eia_plastic_guide_research_pack\06_Benchmark最小实验/benchmark_design_mvp_v0_4.md,sync_repo\06_Benchmark最小实验/benchmark_design_mvp_v0_4.md,OK,401b
06_Benchmark最小实验/abc_group_experiment_plan_v0_4.md,YES,E:\软件\eia_plastic_guide_research_pack\06_Benchmark最小实验/abc_group_experiment_plan_v0_4.md,sync_repo\06_Benchmark最小实验/abc_group_experiment_plan_v0_4.md,OK,304b
07_OpenClaw交接材料/openclaw_plastic_guide_mvp_skill_v0_4.md,YES,E:\软件\eia_plastic_guide_research_pack\07_OpenClaw交接材料/openclaw_plastic_guide_mvp_skill_v0_4.md,sync_repo\07_OpenClaw交接材料/openclaw_plastic_guide_mvp_skill_v0_4.md,OK,757b
08_进度与缺口报告/current_progress_dashboard_v0_4.md,YES,E:\软件\eia_plastic_guide_research_pack\08_进度与缺口报告/current_progress_dashboard_v0_4.md,sync_repo\08_进度与缺口报告/current_progress_dashboard_v0_4.md,OK,445b
08_进度与缺口报告/standard_experience_library_readiness_v0_4.md,YES,E:\软件\eia_plastic_guide_research_pack\08_进度与缺口报告/standard_experience_library_readiness_v0_4.md,sync_repo\08_进度与缺口报告/standard_experience_library_readiness_v0_4.md,OK,926b
