question_id,audit_category,query_text,scope,contains_report_body
PL001_V01_Q01,国民经济行业分类,"问题：请结合项目产品、原辅材料和生产工艺，判断该报告行业类别是否基本合理。
审核类别：国民经济行业分类",positive_control_21_questions,False
PL001_EnvQuality_Q01,环境质量数据引用,"问题：请根据报告引用的环境质量公报及现状数据，判断大气和地表水环境质量现状数据引用是否准确。
审核类别：环境质量数据引用",positive_control_21_questions,False
PL001_Emission_固体,固体废物控制标准,"问题：请根据项目产生的固体废物和危险废物类型，判断固体废物控制标准选取是否合理。要求总结一般工业固体废物和危险废物执行标准的标准名称及编号，分析是否缺少必要标准条目。
审核类别：固体废物控制标准",positive_control_21_questions,False
PL002_V01_Q01,国民经济行业分类,"问题：请结合项目产品、原辅材料和生产工艺，判断该报告是否适合作为塑胶行业种子问答样本，并判断行业类别是否基本合理。
审核类别：国民经济行业分类",positive_control_21_questions,False
PL002_EnvQuality_Q01,环境质量数据引用,"问题：请根据报告引用的环境质量公报及现状数据，判断大气和地表水环境质量现状数据引用是否准确。
审核类别：环境质量数据引用",positive_control_21_questions,False
PL002_Emission_大气,大气污染物排放标准,"问题：请根据项目行业类别、生产工艺和污染因子，判断大气污染物排放标准选取是否合理。要求分析：污染源覆盖是否完整（列出所有大气污染源及对应标准），是否存在缺漏的污染源或标准。
审核类别：大气污染物排放标准",positive_control_21_questions,False
PL002_Emission_噪声,噪声排放标准,"问题：请根据项目所属声环境功能区类别，判断噪声排放标准选取是否合理。要求总结声功能区类型、厂界执行标准（GB12348-2008）及昼夜限值，并与环评编制内容进行一致性分析。
审核类别：噪声排放标准",positive_control_21_questions,False
PL002_Emission_固体,固体废物控制标准,"问题：请根据项目产生的固体废物和危险废物类型，判断固体废物控制标准选取是否合理。要求总结一般工业固体废物和危险废物执行标准的标准名称及编号，分析是否缺少必要标准条目。
审核类别：固体废物控制标准",positive_control_21_questions,False
PL003_V01_Q01,国民经济行业分类,"问题：请结合项目产品、原辅材料和生产工艺，判断该报告行业类别是否基本合理。
审核类别：国民经济行业分类",positive_control_21_questions,False
PL003_V01_Q03,环评投资概算,"问题：请根据报告中的总投资、环保投资和环保工程投资明细，判断环保投资核算是否前后一致、比例是否正确。
审核类别：环评投资概算",positive_control_21_questions,False
PL003_Emission_水污,水污染物排放标准,"问题：请根据报告中的废水类型、预处理方式、排放去向、企业排口标准、污水处理厂名称、尾水排放河道和尾水执行标准，判断水污染物排放标准选取是否合理。要求对比：生活污水排放标准+排入污水处理厂名称+尾水排放河道+尾水排放执行标准，报告与知识库是否一致。
审核类别：水污染物排放标准",positive_control_21_questions,False
PL003_Emission_噪声,噪声排放标准,"问题：请根据项目所属声环境功能区类别，判断噪声排放标准选取是否合理。要求总结声功能区类型、厂界执行标准（GB12348-2008）及昼夜限值，并与环评编制内容进行一致性分析。
审核类别：噪声排放标准",positive_control_21_questions,False
PL003_Emission_固体,固体废物控制标准,"问题：请根据项目产生的固体废物和危险废物类型，判断固体废物控制标准选取是否合理。要求总结一般工业固体废物和危险废物执行标准的标准名称及编号，分析是否缺少必要标准条目。
审核类别：固体废物控制标准",positive_control_21_questions,False
PL004_V01_Q01,国民经济行业分类,"问题：请结合项目产品、原辅材料和生产工艺，判断该报告行业类别是否基本合理。
审核类别：国民经济行业分类",positive_control_21_questions,False
PL004_Emission_水污,水污染物排放标准,"问题：请根据报告中的废水类型、预处理方式、排放去向、企业排口标准、污水处理厂名称、尾水排放河道和尾水执行标准，判断水污染物排放标准选取是否合理。要求对比：生活污水排放标准+排入污水处理厂名称+尾水排放河道+尾水排放执行标准，报告与知识库是否一致。
审核类别：水污染物排放标准",positive_control_21_questions,False
PL004_Emission_噪声,噪声排放标准,"问题：请根据项目所属声环境功能区类别，判断噪声排放标准选取是否合理。要求总结声功能区类型、厂界执行标准（GB12348-2008）及昼夜限值，并与环评编制内容进行一致性分析。
审核类别：噪声排放标准",positive_control_21_questions,False
PL004_Emission_固体,固体废物控制标准,"问题：请根据项目产生的固体废物和危险废物类型，判断固体废物控制标准选取是否合理。要求总结一般工业固体废物和危险废物执行标准的标准名称及编号，分析是否缺少必要标准条目。
审核类别：固体废物控制标准",positive_control_21_questions,False
PL005_Emission_水污,水污染物排放标准,"问题：请根据报告中的废水类型、预处理方式、排放去向、企业排口标准、污水处理厂名称、尾水排放河道和尾水执行标准，判断水污染物排放标准选取是否合理。要求对比：生活污水排放标准+排入污水处理厂名称+尾水排放河道+尾水排放执行标准，报告与知识库是否一致。
审核类别：水污染物排放标准",positive_control_21_questions,False
PL005_Emission_噪声,噪声排放标准,"问题：请根据项目所属声环境功能区类别，判断噪声排放标准选取是否合理。要求总结声功能区类型、厂界执行标准（GB12348-2008）及昼夜限值，并与环评编制内容进行一致性分析。
审核类别：噪声排放标准",positive_control_21_questions,False
PL005_Emission_固体,固体废物控制标准,"问题：请根据项目产生的固体废物和危险废物类型，判断固体废物控制标准选取是否合理。要求总结一般工业固体废物和危险废物执行标准的标准名称及编号，分析是否缺少必要标准条目。
审核类别：固体废物控制标准",positive_control_21_questions,False
PL006_EnvQuality_Q01,环境质量数据引用,"问题：请根据报告引用的环境质量公报及现状数据，判断大气和地表水环境质量现状数据引用是否准确。
审核类别：环境质量数据引用",positive_control_21_questions,False
