case_id,project_name,industry_code,original_comment,audit_module,related_case_experience_id,source_file,manual_check_needed
QA_pair_00010_废水,,C2929,批复要求：项目生活污水经三 级化粪池处理后，达到广东省《水污染物排放限值》（DB 44/26 —2001）中第二时段三级标准后，经市政污水管网排入大门污水 处理厂处理，尾水排入顺德支流。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00010_废气,,C2929,批复要求：项目破碎、雕刻和机加工修整（模具）工序产生的颗粒物执 行《合成树脂工业污染物排放标准》（GB 31572—2015）表 9 企业 边界大气污染物浓度限值和广东省《大气污染物排放限值》（DB 44/27—2001）第二时段无组织监控浓度限值的较严值。项目注塑 成型、烫金（转印）工序产生的非甲烷总烃有组织排放执行《合 成树脂工业污染物排放标准》（GB 31572—2015）表 4 大气污染物,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00010_噪声,,C2929,批复要求：厂界噪声执行《工业企业厂界环境噪声排放标准》（GB 12348 —2008）中的 3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00010_危废,,C2929,批复要求：项目危险废物、一般工业固体废物贮存及处置应符合法律法 规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标准》（GB 18597—2023）相关要求，危险废物委托有资质的单位进行处理处 置。,,,qa_all_labeled.jsonl,Y
QA_pair_00014_废水,,C2929,批复要求：（一）项目冷却塔定期排水作为清静下水排至市政雨水管 网，项目生活污水经三级化粪池预处理达到广东省《水污染物排 放限值》（DB 44/26—2001）第二时段三级标准后排入杏坛污水 处理厂处理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00014_废气,,C2929,批复要求：（二）落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367—2022）中相应控制要求，做好物料储存、转移和输送等 环节挥发性有机物无组织排放控制，并采取有效废气收集处理措 施，最大限度减少废气排放影响。1．项目挤出、检测工序产生废气经双层密闭收集通过沸石 转轮吸附+催化燃烧废气处理后引至 50m 高排气筒 G2 排放。项 目配料、混料粉尘收集后通过布袋除尘设施进行处理，然后通,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
QA_pair_00014_噪声,,C2929,批复要求：（三）厂界噪声执行《工业企业厂界环境噪声排放标准》（GB 12348—2008）3 类标准。,,"RULE_C2929_噪声_扩建,RULE_C2929_噪声_新建",qa_all_labeled.jsonl,N
QA_pair_00014_危废,,C2929,批复要求：（四）项目危险废物、一般工业固体废物贮存及处置应符合 法律法规及国家污染物控制标准要求。危险废物贮存场所须满足《危险废物贮存污染控制标 准》（GB 18597—2023）相关要求，危险废物委托有资质的单位 进行处理处置。,,,qa_all_labeled.jsonl,Y
QA_pair_00017_废水,,C2929,批复要求：（一）项目生活污水经处理达到广东省《水污染物排放限值》 （DB 44/26—2001）第二时段三级标准后排入勒流污水处理厂处 理。,,"RULE_C2929_废水_扩建,RULE_C2929_废水_新建,RULE_C2929_废水_迁建",qa_all_labeled.jsonl,N
QA_pair_00017_废气,,C2929,批复要求：（二）落实《固定污染源挥发性有机物综合排放标准》（DB 44/2367—2022）中相应控制要求，做好物料储存、转移和输送等 环节挥发性有机物无组织排放控制，并采取有效废气收集处理措 施，最大限度减少废气排放影响。1．注塑废气经整室密闭负压收集，经活性炭吸附处理后通 过排气筒高空排放。其中，非甲烷总烃有组织排放执行《合成树 脂工业污染物排放标准》（GB 31572—2015，含 2024,,"RULE_C2929_废气_扩建,RULE_C2929_废气_新建,RULE_C2929_废气_迁建",qa_all_labeled.jsonl,N
