question_id,project_id,audit_domain,cognitive_level,reasoning_type,primary_functional_capability,secondary_capabilities,knowledge_dependency,workflow_dependency,evidence_span,template_default_used,override_reason,classification_status,taxonomy_version,source_category,source_manual_check,source_manual_judgement,source_needs_human_review,taxonomy_review_required,taxonomy_review_reason
PL001_V01_Q01,PL001,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,选取判断相关数据无误，通过表2-2，2-3了解到属于纸、膜类韩品且设备生产线含有涂布线；,否,True,人工判断格式异常
PL001_V01_Q03,PL001,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,需复核,是,True,源工作簿标记需人工复核
PL001_EnvQuality_Q01,PL001,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL001_Emission_水污,PL001,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,存在错误,是,True,源工作簿标记需人工复核
PL001_Emission_大气,PL001,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL001_Emission_噪声,PL001,noise_emission_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,噪声排放标准,False,存在缺漏,是,True,源工作簿标记需人工复核
PL001_Emission_固体,PL001,solid_waste_standard,L2_application,rule_applicability,basis_grounding,"[""report_grounding""]",high,medium,report_plus_external,True,,auto_default,v1,固体废物控制标准,False,无误,否,False,
PL002_V01_Q01,PL002,industry_classification,L3_analysis,multi_evidence_synthesis,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,cross_section,True,,auto_default,v1,国民经济行业分类,True,112,否,True,人工判断格式异常
PL002_V02_Q03,PL002,environmental_investment,L2_application,quantitative_verification,numerical_accuracy,"[""report_grounding"", ""procedural_reasoning""]",low,medium,cross_section,True,,auto_default,v1,环评投资概算,False,需复核,是,True,源工作簿标记需人工复核
PL002_EnvQuality_Q01,PL002,environmental_quality_data,L3_analysis,consistency_comparison,evidence_integration,"[""report_grounding"", ""basis_grounding""]",high,high,report_plus_external,True,,auto_default,v1,环境质量数据引用,False,正确,是,True,源工作簿标记需人工复核
PL002_Emission_水污,PL002,water_emission_standard,L3_analysis,rule_applicability,basis_grounding,"[""report_grounding"", ""procedural_reasoning""]",high,high,report_plus_external,True,,auto_default,v1,水污染物排放标准,False,无误,否,False,
PL002_Emission_大气,PL002,air_emission_standard,L3_analysis,multi_evidence_synthesis,basis_grounding,"[""report_grounding"", ""evidence_integration""]",high,high,report_plus_external,True,,auto_default,v1,大气污染物排放标准,False,无误,否,False,
