project_id,file_name,table_index,row_index,row_status,cell_hit_ratio,row_preview,missed_cells,md_file,file_id
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,1,11,部分,0.75,是否开工建设 | 否是： | 用地面积（m2） | 1813.48,否是：,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,3,3,部分,0.75,1.1 | 38-VOCs物料储存- VOCs物料应储存于密闭的容器、包装袋、储罐、储库、料仓中。 | 项目液体VOCs物料经密闭容器或罐车送至工厂，在厂内采用密闭管道输送。粉状VOCs物料采用密闭包装袋转移。VOCs物料均储存在厂内，厂房为已建成工业厂房，拥有完整的围挡结构，地面已经全部混凝土硬化，采取防腐防渗处理。 | 符合,项目液体VOCs物料经密闭容器或罐车送至工厂，在厂内采用密闭管道输送。粉状VOCs物料采用密闭包装袋转移。VOCs物料均储存在厂内，厂房为已建成工业厂房，拥有完整的围挡结构，地面已经全部混凝土硬化，采取防腐防渗处理。,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,3,14,疑似缺失,0.5,2.2 | 重点对含VOCs物料（包括含VOCs原辅材料、含VOCs产品、含VOCs废料以及有机聚合物材料等）储存、转移和输送、设备与管线组件泄漏、敞开液面逸散以及工艺过程等五类排放源实施管控，通过采取设备与场所密闭、工艺改进、废气有效收集等措施，削减VOCs无组织排放。 | 项目所使用VOCs物料包装桶和储罐密闭储存，全自动发泡线废气采用设备废气排放口直连,重点对含VOCs物料（包括含VOCs原辅材料、含VOCs产品、含VOCs废料以及有机聚合物材料等）储存、转移和输送、设备与管线组件泄漏、敞开液面逸散以及工艺过程等五类排放源实施管控，通过采取设备与场所密闭、工艺改进、废气有效收集等措施，削减VOCs无组织排放。；项目所使用VOCs物料包装桶和储罐密闭储存，全自动发泡线废气采用设备废气排放口直连收集、半自动发泡生产线废气采用整室负压收集至“活性炭吸附” 装置处理后经排气筒DA001（15m）高空排放。,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,3,25,疑似缺失,0.5,6.3 | 压制、压延、发泡、涂饰、印刷、清洗等涉 VOCs 工序应采用密闭设备或在密闭空间内操作，废气排至废气收集处理系统。 | 项目全自动发泡线废气采用设备废气排放口直连收集、半自动发泡生产线废气采用整室负压收集废气至“活性炭吸附” 装置处理后经排气筒DA001（15m）高空排放。 | 符合,压制、压延、发泡、涂饰、印刷、清洗等涉 VOCs 工序应采用密闭设备或在密闭空间内操作，废气排至废气收集处理系统。；项目全自动发泡线废气采用设备废气排放口直连收集、半自动发泡生产线废气采用整室负压收集废气至“活性炭吸附” 装置处理后经排气筒DA001（15m）高空排放。,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,8,12,疑似缺失,0.667,1-7.【大气/限制类】大气环境受体敏感重点管控区内，应严格限制新建储油库项目、产生和排放有毒有害大气污染物的建设项目以及使用溶剂型油墨、涂料、清洗剂、胶黏剂等高挥发性有机物原辅材料项目，鼓励现有该类项目搬迁退出。 | 项目根据查询广东省“三线一单”引用平台，项目不在大气受体敏感重点管控区内，属于大气环境布局敏感重点管控区，详细规划情况见附图11。 | --,项目根据查询广东省“三线一单”引用平台，项目不在大气受体敏感重点管控区内，属于大气环境布局敏感重点管控区，详细规划情况见附图11。,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,8,21,疑似缺失,0.667,3-2.【水/综合类】】乐从镇重点河涌水质上年度未达到水环境环境质量目标的，需组织编制、系统实施、向社会公开区域重点水污染物减排计划并明确“替代量”，本年度新建、改建、扩建项目新增水环境重点污染物实行区域“减二增一”替代（工业、生活或综合集中废水处理设施、民生项目除外）。 | 本项目生活污水经三级化粪预处理达标后排放到乐从污水处理厂，尾水排至九沙涌，最终汇入,本项目生活污水经三级化粪预处理达标后排放到乐从污水处理厂，尾水排至九沙涌，最终汇入顺德水道。顺德水道水质2023年达到水环境质量目标，且属于工业项目，无需实施本年度改建、扩建项目新增水环境重点污染物区域“减二增一”替代。,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,8,28,疑似缺失,0.0,4-2.【水/综合类】乐从污水处理厂、工业污水集中处理设施应采取有效措施，防止事故废水直接排入水体。完善污水处理厂在线监控系统联网，实现污水处理厂的实时、动态监管。 | 本项目所在地位于乐从污水处理厂纳污范围，污水处理厂已与在线监控系统联网，实现污水处理厂的实时动态监管。,4-2.【水/综合类】乐从污水处理厂、工业污水集中处理设施应采取有效措施，防止事故废水直接排入水体。完善污水处理厂在线监控系统联网，实现污水处理厂的实时、动态监管。；本项目所在地位于乐从污水处理厂纳污范围，污水处理厂已与在线监控系统联网，实现污水处理厂的实时动态监管。,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,16,8,疑似缺失,0.667,【毒性】 | LD50经口大鼠5800 mg/kg，吸入14ppm/4H，小鼠吸入10ppm/4H，静脉注射56 mg/kg，吸入可引起咳嗽、恶心、呼吸局促、呕吐，与皮肤接触引起红肿，并有灼痛感。对实验动物具有致癌作用，但对人类的致癌作用尚无确实的证据。对皮肤有刺激作用，对呼吸道可以引起咳嗽、呼吸困难，在低剂量如0.014mg/m3时，可以引起慢性的肺功能衰,LD50经口大鼠5800 mg/kg，吸入14ppm/4H，小鼠吸入10ppm/4H，静脉注射56 mg/kg，吸入可引起咳嗽、恶心、呼吸局促、呕吐，与皮肤接触引起红肿，并有灼痛感。对实验动物具有致癌作用，但对人类的致癌作用尚无确实的证据。对皮肤有刺激作用，对呼吸道可以引起咳嗽、呼吸困难，在低剂量如0.014mg/m3时，可以引起慢性的肺功能衰退。,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,47,2,部分,0.889,1 | 危废间 | 废含油手套抹布 | HW49其他废物 | 900-041-49 | 危废间，项目1层西北面 | 10m2 | 塑料桶装（10kg/桶） | 0.01t | 半年,危废间，项目1层西北面,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,100,2,部分,0.833,1 | 正常 | 新增污染源 | 非甲烷总烃 | 1小时平均浓度 | 最大浓度占标率 | 环境空气保护目标及网格点（最大落地浓度点）,环境空气保护目标及网格点（最大落地浓度点）,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,125,6,部分,0.833,评价标准 | 评价标准 | 国家标准 | 地方标准□ | 附录D  | 其他标准,附录D ,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,125,11,部分,0.833,污染源调查 | 调查内容 | 本项目正常排放源本项目非正常排放源 现有污染源□ | 拟替代的污染源□ | 其他在建、拟建项目污染源 | 区域污染源□,本项目正常排放源本项目非正常排放源 现有污染源□,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL056,PL056_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表.docx,143,2,疑似缺失,0.667,敏感G1 | 集中式饮用水水源（包括已建成的在用、备用、应急水源，在建和规划的饮用水水源）准保护区：除集中式饮用水水源以外的国家或地方政府设定的与地下水环境相关的其他保护区，如热水、矿泉水、温泉等特殊地下水资源保护区 | 不适用,集中式饮用水水源（包括已建成的在用、备用、应急水源，在建和规划的饮用水水源）准保护区：除集中式饮用水水源以外的国家或地方政府设定的与地下水环境相关的其他保护区，如热水、矿泉水、温泉等特殊地下水资源保护区,解析文本拼接_表格清洗增强_09_161-180.md,157_佛山市祖帮海绵有限公司新建项目_02_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表.docx,1,11,部分,0.75,是否开工建设 | 否是： | 用地（用海）面积（m2） | 1033,否是：,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表.docx,5,11,疑似缺失,0.333,2-4.【水资源/综合类】贯彻落实“节水优先”方针，实行最严格水资源管理制度，陈村镇万元国内生产总值用水量、万元工业增加值用水量、用水总量、农田灌溉水有效利用系数等用水总量和效率指标达到区下达要求。 | 项目严格执行《用水定额 第 2部分：工业》（DB44/T1461.2—2021）、《用水定额 第 3 部分：生活》（DB44/T1461.3—2021），并,2-4.【水资源/综合类】贯彻落实“节水优先”方针，实行最严格水资源管理制度，陈村镇万元国内生产总值用水量、万元工业增加值用水量、用水总量、农田灌溉水有效利用系数等用水总量和效率指标达到区下达要求。；项目严格执行《用水定额 第 2部分：工业》（DB44/T1461.2—2021）、《用水定额 第 3 部分：生活》（DB44/T1461.3—2021），并且达先进定额标准,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表.docx,12,2,疑似缺失,0.5,LDPE塑料 | 低密度聚乙烯，LDPE产品无毒、无味、无臭，呈乳白色颗粒。与LDPE相比具有强度高、韧性好、刚性强、耐热、耐寒等优点，还具有良好的耐环境应力开裂、耐撕裂强度等性能，并可耐酸、碱、有机溶剂等。,低密度聚乙烯，LDPE产品无毒、无味、无臭，呈乳白色颗粒。与LDPE相比具有强度高、韧性好、刚性强、耐热、耐寒等优点，还具有良好的耐环境应力开裂、耐撕裂强度等性能，并可耐酸、碱、有机溶剂等。,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表.docx,27,3,疑似缺失,0.667,勒流污水处理厂排放限值 | 6-9 | 40 | 10 | 10 | 5 | （GB18918-2002）一级A标准及（DB44/26-2001）第二时段一级标准的较严值,勒流污水处理厂排放限值；（GB18918-2002）一级A标准及（DB44/26-2001）第二时段一级标准的较严值,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表.docx,49,2,部分,0.857,生产车间 | 吹膜机 | 75 | 选用低噪声设备、加装减振、安装隔声门窗、合理布局、加强设备维护 | 25 | 50 | 8 | 72.1,选用低噪声设备、加装减振、安装隔声门窗、合理布局、加强设备维护,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表.docx,60,3,部分,0.75,原料仓库、生产区 | 泄漏 | 装卸或存储过程油性油墨、稀释剂等可能会发生泄漏可能造成外环境污染 | 储存油性油墨、稀释剂等原辅材料必须严实包装，储存场地硬底化，设置漫坡围堰，储存场地选择室内或设置遮雨措施,储存油性油墨、稀释剂等原辅材料必须严实包装，储存场地硬底化，设置漫坡围堰，储存场地选择室内或设置遮雨措施,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表
PL119,PL119_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表.docx,61,11,部分,0.8,地表水环境 | 生活污水（DW001） | CODcr | 经三级化粪池处理后，通过市政管网进入勒流污水处理厂进行处理 | 广东省地方标准《水污染物排放限值》（DB44/26-2001）第二时段三级标准,经三级化粪池处理后，通过市政管网进入勒流污水处理厂进行处理,解析文本拼接_表格清洗增强_09_161-180.md,156_佛山志兴盈包装有限公司新建项目_02_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,1,疑似缺失,0.143,噪声源 | 数量（台） | 声源类型（偶发、频发等） | 噪声源强 | 降噪措施 | 噪声排放量 | 持续时间（h）,噪声源；声源类型（偶发、频发等）；噪声源强；降噪措施,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,2,疑似缺失,0.5,核算方法 | 单台声源值（dB（A）） | 工艺 | 降噪效果（dB（A）） | 核算方法 | 声源值（dB（A））,单台声源值（dB（A））；降噪效果（dB（A））；声源值（dB（A））,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,3,疑似缺失,0.625,挤出机 | 3 | 频发 | 类比 | 75 | 窗户隔声 | 8 | 类比 | 67 | 8h/d,频发；窗户隔声；8h/d,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,4,疑似缺失,0.625,注塑机 | 3 | 频发 | 类比 | 75 | 窗户隔声 | 8 | 类比 | 67 | 1h/d,频发；窗户隔声；1h/d,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,5,疑似缺失,0.625,振动筛 | 3 | 偶发 | 类比 | 75 | 窗户隔声 | 8 | 类比 | 67 | 8h/d,偶发；窗户隔声；8h/d,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,6,疑似缺失,0.625,切粒机 | 3 | 偶发 | 类比 | 75 | 窗户隔声 | 8 | 类比 | 67 | 8h/d,偶发；窗户隔声；8h/d,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,7,疑似缺失,0.625,破碎机 | 1 | 频发 | 类比 | 75 | 窗户隔声 | 8 | 类比 | 67 | 1h/d,频发；窗户隔声；1h/d,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,8,疑似缺失,0.625,混料机 | 3 | 频发 | 类比 | 80 | 窗户隔声 | 8 | 类比 | 72 | 1h/d,频发；窗户隔声；1h/d,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,9,疑似缺失,0.625,烘箱 | 2 | 偶发 | 类比 | 70 | 窗户隔声 | 8 | 类比 | 62 | 75h/a,偶发；窗户隔声；75h/a,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
SC017,SC017_133_鹏彩科技(佛山市)有限公司新建项目_01_报批稿或报告表.docx,52,10,疑似缺失,0.625,对色灯 | 1 | 偶发 | 类比 | 70 | 窗户隔声 | 8 | 类比 | 62 | 75h/a,偶发；窗户隔声；75h/a,解析文本拼接_表格清洗增强_10_181-200.md,162_鹏彩科技（佛山市）有限公司新建项目_01_报批稿或报告表
