case_experience_id,source_rule_id,source_qa_ids,source_project_ids,evidence_strength,evidence_gaps
CE-C2929-001,"EXP_C2929_AIR_002,EXP_C2929_MATBAL_001,RULE_C2929_废气_新建","QA_pair_00010废水,QA_pair_00005废气","盛之强项目,多个C2929顺德退改",强(系数手册是明文标准),广东VOCs系数指南原文待完整解析; 292系数手册条款级解析待MinerU
CE-C2929-002,RULE_C2929_废气_新建,QA_pair_00005废气,盛之强项目(三种因子已识别),强(GB14554/GB31572均为正式标准),臭气浓度遗漏在qa_all_labeled.jsonl中的具体QA条目待补充映射
CE-C2929-003,"EXP_C2929_AC_001,RULE_C2929_废气_新建",,盛之强项目(半密闭罩65%),中(广东VOCs核算方法有明确范围但缺批注原文),多项目收集效率批注原文待从qa_all_labeled.jsonl提取
CE-C2929-004,EXP_C2929_AC_001,,多个C2929退改意见(风量偏大),中(佛环函间接约束但稀释排放无量化标准),稀释排放判定无标准支撑; 多项目风量批注原文待提取
CE-C2929-005,EXP_C2929_AC_001,QA_pair_00003活性炭,盛之强项目(0.58m/s/0.52s),强(佛环函70号是正式管理文件但有依赖风险),佛环函(2024)70号原文未入库; 所有参数阈值需原文核实
CE-C2929-006,"EXP_C2929_WW_001,RULE_C2929_废水_新建",,盛之强项目(排雨水管网),弱(依赖地方口径无国家标准),顺德排水管理口径缺乏正式文件名和编号; 跨区域不可泛化
CE-C2929-007,EXP_C2929_MATBAL_001,,盛之强项目(原料缺失/边角料10.8%),中(审核方法论非强制标准),边角料比例无标准阈值; 物料闭合不是标准强制要求
CE-C2929-008,"EXP_C2929_PROC_003,RULE_C2929_危废_新建",QA_pair_00008危废,盛之强项目(遗漏废切削液HW09),强(危废名录有明确代码),废包装桶遗漏模式需更多案例验证; 含油金属屑豁免待案例支撑
CE-C2929-009,"EXP_C2929_AIR_002,RULE_C2929_总量_扩建",QA_pair_00006总量,盛之强项目(未提替代),中(总量法定但替代比例依赖原文),顺环委办(2023)19号原文未入库; 替代比例数值未核实
CE-C2929-010,RULE_C2929_废气_新建,,盛之强项目(引用四套标准),强(GB31572/DB44-2367/DB44-27/GB14554均为正式标准),标准层级选择不是标准条文本身; 特别排放限值区域划分需查最新文件
