question_id,pair_complete,audit_category,project_name,C_internal_status,D_internal_status,C_judgement,D_judgement,C_external_status,D_external_status,internal_exact_match,classification,report_sha_equal,skill_sha_equal
PL001_Emission_固体,True,固体废物控制标准,佛山市亮正新材料有限公司新建项目,issue_found,issue_found,存在问题,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL001_EnvQuality_Q01,True,环境质量数据引用,佛山市亮正新材料有限公司新建项目,issue_found,issue_found,部分完成,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL001_V01_Q01,True,国民经济行业分类,佛山市亮正新材料有限公司新建项目,partially_verified,pass,部分完成,正确,not_performed,insufficient_reference,False,D仍无法补全,True,True
PL002_Emission_噪声,True,噪声排放标准,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,issue_found,pass,存在问题,正确,not_performed,verified,False,D补依据并改结论,True,True
PL002_Emission_固体,True,固体废物控制标准,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,issue_found,issue_found,存在问题,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL002_Emission_大气,True,大气污染物排放标准,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,issue_found,issue_found,存在问题,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL002_EnvQuality_Q01,True,环境质量数据引用,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,issue_found,issue_found,部分完成,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL002_V01_Q01,True,国民经济行业分类,佛山市顺德区启卓工程塑料实业有限公司搬迁项目,issue_found,pass,部分完成,正确,not_performed,verified,False,D补依据并改结论,True,True
PL003_Emission_噪声,True,噪声排放标准,佛山市顺德区康明新材料厂新建项目,pass,pass,部分完成,正确,not_performed,verified,False,D补依据并改结论,True,True
PL003_Emission_固体,True,固体废物控制标准,佛山市顺德区康明新材料厂新建项目,issue_found,issue_found,存在问题,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL003_Emission_水污,True,水污染物排放标准,佛山市顺德区康明新材料厂新建项目,issue_found,issue_found,部分完成,部分完成,not_performed,insufficient_reference,False,D仍无法补全,True,True
PL003_V01_Q01,True,国民经济行业分类,佛山市顺德区康明新材料厂新建项目,pass,pass,正确,正确,not_performed,verified,False,D补依据并改结论,True,True
PL003_V01_Q03,True,环评投资概算,佛山市顺德区康明新材料厂新建项目,issue_found,issue_found,存在问题,存在问题,not_required,not_required,False,异常不一致,True,True
PL004_Emission_噪声,True,噪声排放标准,恒励新材料科技(佛山)有限公司新建项目,issue_found,issue_found,存在问题,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL004_Emission_固体,True,固体废物控制标准,恒励新材料科技(佛山)有限公司新建项目,issue_found,issue_found,部分完成,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL004_Emission_水污,True,水污染物排放标准,恒励新材料科技(佛山)有限公司新建项目,pass,pass,部分完成,正确,not_performed,verified,False,D补依据并改结论,True,True
PL004_V01_Q01,True,国民经济行业分类,恒励新材料科技(佛山)有限公司新建项目,pass,pass,正确,正确,not_performed,verified,False,D补依据并改结论,True,True
PL005_Emission_噪声,True,噪声排放标准,佛山市润特龙清洁用品有限公司新建项目,pass,pass,部分完成,正确,not_performed,verified,False,D补依据并改结论,True,True
PL005_Emission_固体,True,固体废物控制标准,佛山市润特龙清洁用品有限公司新建项目,issue_found,issue_found,部分完成,存在问题,not_performed,verified,False,D补依据并改结论,True,True
PL005_Emission_水污,True,水污染物排放标准,佛山市润特龙清洁用品有限公司新建项目,issue_found,pass,存在问题,正确,not_performed,verified,False,D补依据并改结论,True,True
PL006_EnvQuality_Q01,True,环境质量数据引用,佛山市顺德区乐鲸科技有限公司年产五金拉手300万个新建项目,pass,issue_found,部分完成,存在问题,not_performed,verified,False,D补依据并改结论,True,True
