item_id,question_type,project_name,is_negative_control,group,audit_judgement_score,report_evidence_score,review_comment_score,common_score_6,standard_basis_score,experience_basis_score,knowledge_use_score_4,total_score_10,false_positive,over_generalization,unsupported_standard,unsupported_experience,low_relevance_experience_used,pending_experience_used_as_strong_basis,manual_check_needed,notes
Q01,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,胶水VOCs超限值—A组无标准/经验支撑
Q02,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,活性炭更换周期—A组无标准/经验支撑
Q03,case_experience,康明新材料厂,N,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,收集效率—A组评审意见可操作性偏低
Q04,case_experience,康明新材料厂,N,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,总量替代—A组评审意见可操作性偏低
Q05,cross_check,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,收集效率多源—A组无标准/经验支撑
Q06,negative_control,康明新材料厂,Y,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,安全设施—A组无标准/经验支撑;negative_control
Q07,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,标准适用层级—A组无标准/经验支撑
Q08,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,VOCs物料储存—A组无标准/经验支撑
Q09,guide_explicit,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,危废识别—A组无标准/经验支撑
Q10,standard_calculation,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,风量核算—A组无标准/经验支撑
Q11,standard_calculation,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,过滤风速—A组无标准/经验支撑
Q12,standard_calculation,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,废活性炭量—A组无标准/经验支撑
Q13,case_experience,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,复合工艺矛盾—A组无标准/经验支撑
Q14,case_experience,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,冷却水隐性排放—A组无标准/经验支撑
Q15,case_experience,康明新材料厂,N,A,2,2,2,6,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,环境风险缺失—A组无标准/经验支撑
Q16,cross_check,康明新材料厂,N,A,2,2,1,5,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,VOCs全链路—A组评审意见可操作性偏低
