补充项,建议文件或目录,优先级,作用,论文可写点
10个原始审核问题-技能路由表,skill_question_routing_matrix.csv,P0,说明每道审核母题应调用哪些技能,从问题集到技能调用的任务分解方法
技能-标准依据依赖矩阵,skill_standard_dependency_matrix.csv,P0,说明每个技能依赖哪些标准条目,标准依据库与技能库的关联机制
专家意见-技能映射表,skill_expert_issue_mapping.csv,P0,把真实修改意见绑定到具体技能,从专家经验中获取和校准技能
模型辅助评分指标表,model_assisted_scoring_rubric_v1.csv,P0,评价模型在证据定位、标准适用、问题识别等方面的表现,人机协同评价方法
技能复核状态表,skill_review_status.csv,P1,记录每个技能是否经过人工或专家复核,技能库质量控制与治理
技能版本记录,skill_change_log.md,P1,记录技能更新来源和变化原因,技能库持续演化
涉VOCs物料识别审核,16_涉VOCs物料识别审核/,P1,突出胶水、油墨、溶剂、清洗剂等塑胶场景,地方塑胶行业领域化技能
涂胶复合熟化工艺识别审核,17_涂胶复合熟化工艺识别审核/,P1,识别佛山塑胶指南重点适用场景,研究对象边界收敛
物料平衡与VOCs闭合性审核,18_物料平衡与VOCs闭合性审核/,P1,核查用量、含量、产生量、排放量是否闭合,从文本审查走向定量一致性审查
依托治理设施能力审核,19_依托治理设施能力审核/,P2,核查依托设施剩余处理能力,真实专家意见转化为技能
修改意见闭环核查,20_修改意见闭环核查/,P2,核查专家意见是否在报批稿中回应,样本链证据闭环
